alcohol,chlorides,volatile_acidity,total_sulfur_dioxide,fixed_acidity,quality,quality_class
12.7,0.034,0.53,109.0,6.8,8,2
8.9,0.047,0.28,210.0,6.5,4,0
8.9,0.052000000000000005,0.28,211.0,6.6,6,1
8.7,0.048,0.28,167.0,6.8,5,1
11.4,0.045,0.28,123.0,6.8,6,1
9.6,0.055,0.15,125.0,6.6,5,1
9.1,0.2,0.29,181.0,6.4,5,1
9.1,0.19699999999999998,0.3,180.0,6.4,6,1
9.1,0.19699999999999998,0.29,183.0,6.4,5,1
8.9,0.052000000000000005,0.26,214.0,6.8,5,1
8.8,0.05,0.32,204.0,7.1,5,1
8.9,0.052000000000000005,0.26,214.0,6.8,5,1
9.3,0.049,0.27,196.0,6.8,5,1
8.8,0.05,0.32,204.0,7.1,5,1
9.6,0.05,0.54,236.0,6.9,5,1
12.0,0.034,0.26,134.0,6.8,6,1
10.2,0.053,0.28,114.0,5.8,4,0
8.8,0.042,0.21,153.0,6.4,5,1
9.2,0.045,0.16,126.0,7.0,5,1
10.2,0.04,0.57,77.0,6.8,5,1
9.5,0.048,0.4,170.0,6.1,6,1
10.5,0.032,0.245,68.0,5.6,5,1
11.2,0.038,0.18,111.0,6.8,7,2
9.2,0.045,0.16,126.0,7.0,5,1
9.7,0.051,0.13,122.0,6.7,6,1
11.1,0.03,0.25,105.0,6.2,7,2
9.4,0.044000000000000004,0.26,152.0,5.8,5,1
11.0,0.036000000000000004,0.27,164.0,7.5,5,1
9.4,0.044000000000000004,0.26,152.0,5.8,5,1
9.4,0.044000000000000004,0.28,167.0,5.7,5,1
11.0,0.036000000000000004,0.23,161.0,7.5,5,1
11.0,0.036000000000000004,0.27,164.0,7.5,5,1
9.1,0.07,0.685,172.0,7.2,6,1
11.1,0.03,0.25,105.0,6.2,7,2
9.1,0.043,0.19,144.0,6.5,6,1
10.4,0.046,0.495,140.0,6.3,6,1
8.7,0.046,0.24,145.0,7.1,5,1
9.7,0.048,0.17,200.0,6.4,6,1
9.1,0.040999999999999995,0.25,272.0,7.1,6,1
9.7,0.048,0.17,200.0,6.4,6,1
8.7,0.046,0.24,145.0,7.1,5,1
8.9,0.062,0.64,142.0,6.8,4,0
9.6,0.040999999999999995,0.28,194.0,8.3,6,1
9.5,0.039,0.27,208.0,8.2,6,1
9.0,0.057999999999999996,0.23,194.0,7.2,6,1
9.0,0.057999999999999996,0.23,194.0,7.2,6,1
9.0,0.057999999999999996,0.23,194.0,7.2,6,1
9.0,0.057999999999999996,0.23,194.0,7.2,6,1
9.6,0.044000000000000004,0.52,221.0,6.8,6,1
11.1,0.037000000000000005,0.26,120.0,7.0,7,2
9.6,0.039,0.25,159.0,6.2,6,1
8.7,0.05,0.32,197.0,7.3,5,1
10.4,0.031,0.31,90.0,7.7,5,1
11.4,0.026000000000000002,0.21,100.0,7.1,7,2
9.7,0.047,0.24,218.5,6.8,6,1
8.7,0.043,0.4,142.0,6.9,5,1
11.3,0.038,0.18,249.5,6.1,6,1
12.6,0.03,0.21,139.0,6.8,7,2
10.9,0.031,0.2,77.0,5.8,7,2
10.9,0.03,0.19,76.0,5.6,7,2
10.0,0.037000000000000005,0.41,119.0,6.1,5,1
10.0,0.053,0.21,199.0,5.9,4,0
9.8,0.07400000000000001,0.26,197.0,8.5,3,0
8.7,0.043,0.4,142.0,6.9,5,1
11.7,0.028999999999999998,0.24,109.0,5.8,3,0
9.3,0.054000000000000006,0.24,158.0,5.8,6,1
9.6,0.04,0.26,147.0,6.7,8,2
11.0,0.035,0.35,97.0,6.3,7,2
11.0,0.035,0.35,97.0,6.3,7,2
11.8,0.032,0.23,118.0,6.4,6,1
11.4,0.037000000000000005,0.36,75.0,5.8,4,0
10.2,0.048,0.115,108.0,6.9,6,1
8.9,0.043,0.29,156.0,6.9,5,1
10.2,0.036000000000000004,0.28,95.0,6.9,5,1
9.6,0.045,0.29,231.0,7.2,6,1
10.6,0.038,0.24,167.0,6.2,6,1
8.9,0.043,0.29,156.0,6.9,5,1
9.2,0.053,0.32,180.0,6.9,6,1
9.7,0.043,0.58,149.0,5.3,5,1
9.7,0.044000000000000004,0.585,145.0,5.3,6,1
9.7,0.045,0.59,147.0,5.4,6,1
9.2,0.053,0.32,180.0,6.9,6,1
9.7,0.044000000000000004,0.6,147.0,5.2,5,1
9.3,0.051,0.25,148.0,5.8,5,1
9.0,0.057,0.58,123.0,6.6,5,1
9.5,0.046,0.29,234.0,7.0,5,1
9.8,0.046,0.19,169.0,6.6,6,1
9.8,0.044000000000000004,0.2,166.0,6.7,6,1
10.6,0.042,0.26,60.0,7.7,5,1
10.6,0.044000000000000004,0.32,67.0,6.8,4,0
12.4,0.036000000000000004,0.3,105.0,7.0,7,2
12.6,0.034,0.24,112.0,7.0,8,2
12.3,0.039,0.31,114.0,6.1,8,2
10.5,0.047,0.44,201.0,6.8,4,0
9.3,0.054000000000000006,0.34,196.0,6.7,5,1
8.8,0.055,0.35,198.0,7.1,5,1
8.8,0.055999999999999994,0.32,180.0,7.3,5,1
9.7,0.053,0.28,190.0,6.5,6,1
9.0,0.057999999999999996,0.23,192.0,7.2,7,2
9.0,0.057999999999999996,0.23,192.0,7.2,7,2
9.0,0.057999999999999996,0.23,192.0,7.2,7,2
9.0,0.057999999999999996,0.23,192.0,7.2,7,2
10.5,0.040999999999999995,0.15,155.0,5.9,6,1
9.1,0.066,0.28,195.0,7.4,5,1
9.8,0.040999999999999995,0.28,157.0,6.2,7,2
8.5,0.066,0.59,182.0,9.1,3,0
9.4,0.046,0.33,175.0,6.3,6,1
9.4,0.045,0.39,169.0,8.3,5,1
11.2,0.040999999999999995,0.19,187.0,7.2,7,2
10.0,0.046,0.17,146.0,7.5,6,1
10.3,0.043,0.17,122.0,6.7,6,1
10.8,0.063,0.41,87.0,6.1,6,1
10.5,0.05,0.2,74.0,8.3,6,1
10.8,0.063,0.41,87.0,6.1,6,1
11.1,0.055,0.29,168.0,6.0,6,1
9.9,0.057,0.41,163.0,7.3,6,1
9.9,0.057,0.41,163.0,7.3,6,1
9.9,0.057999999999999996,0.43,163.0,7.2,5,1
9.9,0.057999999999999996,0.4,166.0,7.3,6,1
10.4,0.036000000000000004,0.33,134.0,6.2,7,2
10.4,0.037000000000000005,0.31,148.0,6.2,6,1
11.5,0.035,0.36,100.0,6.1,7,2
12.5,0.032,0.55,164.0,5.0,8,2
10.0,0.042,0.25,149.0,7.8,6,1
10.0,0.038,0.36,166.0,5.7,6,1
10.0,0.04,0.34,167.0,5.8,5,1
9.1,0.132,0.28,127.0,6.8,6,1
10.6,0.031,0.25,134.0,6.8,6,1
10.5,0.031,0.24,135.0,6.6,5,1
11.5,0.03,0.3,133.0,5.9,7,2
10.1,0.04,0.125,69.0,6.1,6,1
10.3,0.040999999999999995,0.1,65.0,6.0,7,2
10.5,0.031,0.24,135.0,6.6,5,1
10.6,0.031,0.25,134.0,6.8,6,1
10.4,0.031,0.28,137.0,6.8,6,1
11.4,0.046,0.41,207.0,8.3,5,1
10.5,0.057,0.27,313.0,7.5,5,1
10.0,0.04,0.26,216.0,7.9,6,1
10.0,0.039,0.34,143.0,6.4,6,1
9.6,0.042,0.28,195.0,6.5,6,1
10.4,0.036000000000000004,0.21,85.0,7.2,5,1
12.5,0.03,0.32,101.0,6.4,8,2
10.6,0.032,0.24,135.0,6.8,5,1
11.8,0.033,0.23,91.0,6.3,6,1
9.8,0.038,0.28,133.0,6.5,5,1
10.8,0.031,0.26,80.0,5.6,5,1
11.8,0.033,0.23,91.0,6.3,6,1
11.2,0.036000000000000004,0.23,105.0,6.3,6,1
9.3,0.045,0.27,170.0,5.8,6,1
10.4,0.047,0.26,139.0,5.9,5,1
10.2,0.049,0.18,141.0,6.6,7,2
9.0,0.045,0.2,153.0,7.4,7,2
10.0,0.047,0.24,129.0,8.0,6,1
9.1,0.044000000000000004,0.26,140.0,6.4,6,1
10.0,0.053,0.31,144.0,5.4,5,1
10.0,0.052000000000000005,0.29,145.0,5.4,6,1
9.6,0.05,0.145,131.0,7.1,6,1
11.2,0.031,0.34,68.0,5.6,7,2
8.8,0.055999999999999994,0.19,155.0,6.7,6,1
10.0,0.052000000000000005,0.18,118.0,7.8,6,1
10.0,0.054000000000000006,0.17,137.0,7.6,5,1
11.4,0.044000000000000004,0.12,146.0,6.3,7,2
11.9,0.038,0.33,138.0,7.3,7,2
9.6,0.071,0.335,128.0,5.5,6,1
11.9,0.038,0.33,138.0,7.3,7,2
9.6,0.047,0.4,245.0,5.8,6,1
9.0,0.063,0.22,191.0,7.3,6,1
9.0,0.063,0.22,191.0,7.3,6,1
9.5,0.05,0.36,169.0,6.1,6,1
10.4,0.05,0.2,152.0,10.0,6,1
10.6,0.04,0.24,161.0,6.9,6,1
10.2,0.047,0.24,162.0,6.4,6,1
8.9,0.055,0.365,84.0,7.1,5,1
9.7,0.05,0.15,127.0,6.8,6,1
9.0,0.063,0.22,191.0,7.3,6,1
11.4,0.037000000000000005,0.16,102.0,6.8,7,2
12.3,0.027999999999999997,0.26,113.0,6.0,7,2
10.8,0.08900000000000001,0.18,143.0,6.0,6,1
9.4,0.053,0.33,148.0,6.9,6,1
10.6,0.049,0.29,178.0,7.7,6,1
11.6,0.044000000000000004,0.39,72.0,7.1,5,1
9.4,0.053,0.33,148.0,6.9,6,1
10.6,0.049,0.29,178.0,7.7,6,1
10.0,0.048,0.905,204.0,6.6,5,1
9.2,0.048,0.27,149.0,7.2,6,1
12.5,0.027000000000000003,0.33,89.0,5.1,7,2
12.5,0.027000000000000003,0.33,89.0,5.1,7,2
10.4,0.037000000000000005,0.31,119.0,6.4,7,2
10.0,0.045,0.2,98.0,7.3,7,2
10.0,0.049,0.32,155.0,5.7,6,1
10.4,0.037000000000000005,0.31,119.0,6.4,7,2
10.0,0.045,0.2,98.0,7.3,7,2
9.0,0.046,0.28,179.0,7.2,6,1
9.2,0.051,0.35,157.0,7.5,6,1
9.2,0.048,0.27,149.0,7.2,6,1
11.3,0.027000000000000003,0.36,125.0,6.0,7,2
12.5,0.027000000000000003,0.33,89.0,5.1,7,2
10.8,0.026000000000000002,0.17,115.0,5.0,7,2
10.1,0.04,0.39,260.0,6.3,5,1
9.7,0.047,0.21,140.0,6.7,6,1
9.3,0.032,0.3,181.0,7.0,7,2
9.3,0.032,0.3,181.0,7.0,7,2
10.6,0.031,0.36,66.0,6.5,5,1
10.2,0.031,0.55,125.0,6.1,6,1
12.2,0.021,0.24,69.0,7.3,6,1
8.8,0.044000000000000004,0.37,163.0,6.8,5,1
10.0,0.04,0.27,168.0,6.8,5,1
11.4,0.031,0.28,93.0,8.2,5,1
11.4,0.037000000000000005,0.2,107.0,6.3,6,1
9.4,0.048,0.26,168.0,5.9,5,1
11.7,0.032,0.19,83.0,6.4,6,1
11.4,0.037000000000000005,0.2,107.0,6.3,6,1
8.8,0.044000000000000004,0.37,163.0,6.8,5,1
9.2,0.069,0.35,108.0,6.1,5,1
8.7,0.046,0.27,252.0,7.1,5,1
12.6,0.035,0.22,170.0,6.8,6,1
10.0,0.04,0.27,168.0,6.8,5,1
12.8,0.031,0.28,99.0,5.8,7,2
9.4,0.049,0.49,125.0,6.9,5,1
10.3,0.044000000000000004,0.14,116.0,6.3,6,1
11.4,0.031,0.28,93.0,8.2,5,1
9.0,0.038,0.25,155.0,7.2,6,1
9.6,0.04,0.28,140.0,7.3,6,1
10.5,0.036000000000000004,0.19,85.0,7.2,5,1
10.5,0.036000000000000004,0.19,85.0,7.2,5,1
9.0,0.038,0.25,155.0,7.2,6,1
9.6,0.04,0.28,140.0,7.3,6,1
9.8,0.040999999999999995,0.21,99.0,7.4,6,1
9.0,0.047,0.26,210.0,6.8,5,1
9.8,0.040999999999999995,0.21,99.0,7.4,6,1
10.5,0.05,0.31,137.0,7.4,6,1
12.7,0.03,0.22,136.0,7.0,7,2
10.4,0.045,0.21,222.0,7.0,6,1
10.4,0.045,0.21,221.0,7.0,6,1
10.4,0.045,0.21,221.0,7.0,6,1
10.5,0.047,0.23,162.0,6.9,7,2
10.4,0.045,0.21,222.0,7.0,6,1
10.4,0.045,0.21,221.0,7.0,6,1
9.4,0.053,0.29,194.0,6.8,5,1
9.1,0.051,0.21,89.0,7.8,5,1
9.3,0.055999999999999994,0.31,197.0,7.1,5,1
9.4,0.053,0.29,194.0,6.8,5,1
9.8,0.048,0.34,84.0,6.4,5,1
9.9,0.045,0.155,214.0,7.4,7,2
9.2,0.10800000000000001,0.55,151.0,7.2,4,0
12.1,0.027999999999999997,0.23,104.0,7.0,8,2
12.2,0.027000000000000003,0.2,97.0,6.9,7,2
9.8,0.042,0.28,218.5,6.1,5,1
12.4,0.035,0.16,186.0,6.6,8,2
9.9,0.045,0.155,214.0,7.4,7,2
9.2,0.06,0.35,108.0,6.2,5,1
11.6,0.027999999999999997,0.22,102.0,6.7,7,2
10.4,0.033,0.38,137.0,6.1,6,1
12.9,0.026000000000000002,0.25,126.0,6.0,8,2
9.3,0.048,0.52,245.0,6.6,6,1
11.0,0.031,0.24,139.0,6.9,6,1
11.5,0.038,0.32,66.0,7.1,3,0
12.4,0.054000000000000006,0.28,156.0,5.8,5,1
9.8,0.048,0.41,113.0,6.5,6,1
9.8,0.048,0.41,113.0,6.5,6,1
10.5,0.052000000000000005,0.28,127.0,6.4,7,2
9.1,0.07,0.6,174.0,7.2,5,1
10.1,0.038,0.2,128.0,6.1,5,1
10.6,0.042,0.46,160.0,5.9,7,2
10.5,0.046,0.27,113.0,6.0,7,2
10.5,0.052000000000000005,0.28,127.0,6.4,7,2
9.8,0.048,0.41,113.0,6.4,6,1
12.9,0.022000000000000002,0.23,82.0,6.3,7,2
9.5,0.055999999999999994,0.21,111.0,7.1,5,1
9.8,0.053,0.37,218.5,6.0,6,1
8.5,0.059000000000000004,0.43,249.0,6.1,5,1
9.5,0.055999999999999994,0.21,111.0,7.1,5,1
9.3,0.047,0.25,171.0,7.0,5,1
9.5,0.047,0.25,162.0,5.9,5,1
9.4,0.044000000000000004,0.32,68.0,6.8,6,1
8.7,0.047,0.39,178.0,7.2,5,1
8.9,0.081,0.21,126.0,6.3,5,1
9.4,0.039,0.14,141.0,7.0,6,1
9.4,0.044000000000000004,0.32,68.0,6.8,6,1
8.7,0.047,0.39,178.0,7.2,5,1
9.6,0.047,0.29,182.0,7.2,5,1
9.3,0.039,0.37,158.0,8.6,6,1
10.0,0.036000000000000004,0.38,200.0,6.5,5,1
12.5,0.023,0.24,86.0,6.6,6,1
9.6,0.034,0.17,132.0,7.0,7,2
9.4,0.03,0.16,102.0,5.5,6,1
9.5,0.028999999999999998,0.24,227.0,7.0,5,1
12.4,0.027999999999999997,0.28,105.0,7.4,7,2
10.5,0.037000000000000005,0.22,115.0,7.0,6,1
9.2,0.073,0.55,165.0,7.1,6,1
10.4,0.040999999999999995,0.22,164.0,6.3,6,1
9.2,0.043,0.47,172.0,6.7,5,1
10.6,0.047,0.36,104.0,5.9,6,1
9.5,0.044000000000000004,0.25,137.0,5.8,5,1
9.2,0.043,0.47,172.0,6.7,5,1
9.6,0.34600000000000003,0.37,200.0,6.2,5,1
9.7,0.027999999999999997,0.18,117.0,6.2,6,1
9.7,0.025,0.16,117.0,6.0,6,1
10.7,0.035,0.34,90.0,6.6,6,1
10.5,0.045,0.29,180.0,7.4,6,1
8.9,0.047,0.26,177.0,7.4,6,1
12.1,0.035,0.28,70.0,7.0,6,1
12.7,0.032,0.23,65.0,7.1,7,2
9.9,0.039,0.19,182.0,7.8,6,1
11.4,0.022000000000000002,0.19,158.0,6.3,6,1
10.7,0.04,0.2,103.0,6.8,6,1
12.5,0.025,0.44,173.0,5.7,6,1
8.6,0.040999999999999995,0.4,189.0,7.2,4,0
12.5,0.026000000000000002,0.23,147.0,6.8,6,1
10.0,0.04,0.335,174.0,5.7,5,1
8.6,0.040999999999999995,0.4,189.0,7.2,4,0
9.5,0.045,0.28,200.0,7.2,6,1
9.6,0.038,0.19,164.0,6.8,6,1
9.9,0.038,0.3,210.0,6.4,6,1
9.9,0.037000000000000005,0.3,210.0,6.5,5,1
8.9,0.053,0.18,140.0,7.8,6,1
8.9,0.053,0.18,140.0,7.8,6,1
8.8,0.09,0.51,135.0,7.3,5,1
10.0,0.048,0.24,170.0,6.0,7,2
12.0,0.039,0.62,152.0,5.9,6,1
10.0,0.048,0.24,170.0,6.0,7,2
10.0,0.040999999999999995,0.27,138.0,6.7,6,1
12.1,0.042,0.34,167.0,7.8,6,1
11.0,0.04,0.26,141.0,7.3,6,1
11.2,0.025,0.36,55.0,7.4,6,1
10.3,0.036000000000000004,0.28,115.0,7.8,7,2
10.4,0.051,0.31,167.0,6.1,6,1
9.1,0.055,0.18,154.0,6.8,5,1
10.4,0.045,0.15,154.0,7.4,6,1
10.8,0.05,0.13,78.0,5.9,6,1
11.7,0.048,0.34,41.0,7.2,5,1
9.8,0.039,0.19,143.0,7.9,5,1
9.8,0.039,0.19,143.0,7.9,5,1
11.4,0.038,0.25,101.0,6.9,6,1
11.2,0.033,0.36,96.0,5.8,6,1
11.4,0.038,0.35,72.0,5.6,5,1
9.2,0.114,0.32,140.0,5.9,6,1
12.5,0.04,0.31,29.0,7.2,4,0
12.6,0.034,0.28,116.0,6.1,6,1
12.2,0.031,0.36,104.0,5.2,6,1
11.2,0.03,0.19,112.0,5.6,6,1
9.7,0.048,0.1,103.0,6.4,6,1
9.3,0.18600000000000003,0.18,150.0,6.4,5,1
9.0,0.067,0.25,178.0,7.4,6,1
9.0,0.067,0.25,178.0,7.4,6,1
9.0,0.067,0.25,178.0,7.4,6,1
9.1,0.047,0.345,171.0,7.9,5,1
9.1,0.047,0.345,171.0,7.9,5,1
9.0,0.067,0.25,178.0,7.4,6,1
10.4,0.045,0.24,61.0,6.1,5,1
9.5,0.053,0.25,211.0,6.8,6,1
11.4,0.04,0.31,175.0,6.7,4,0
8.7,0.05,0.46,192.0,7.2,5,1
9.9,0.045,0.35,167.0,5.5,6,1
9.9,0.036000000000000004,0.24,148.0,6.7,6,1
9.0,0.047,0.28,162.0,6.8,6,1
10.0,0.04,0.16,149.0,6.4,6,1
9.7,0.039,0.26,172.0,6.3,6,1
